name,origin,uc_id,uc_file,uc_date,uc_origin,uc_source_url,uc_repo,uc_ai_model,uc_temperature,uc_top_p,uc_title,uc_actors,uc_num_of_steps,uc_num_of_alt_scenarions,uc_num_of_err_scenarions,seq_id,seq_file,seq_date,seq_origin,seq_source_url,seq_repo,seq_ai_model,seq_temperature,seq_top_p,seq_actors,seq_num_of_participats,seq_title,seq_num_of_alt,seq_num_of_opt,seq_num_of_loop
River Search and Rescue,semi-synthetic,1,uc\00001_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/RiverRescue.md,SAREC-Lab/sUAS-UseCases,,0,0,River Search and Rescue,2,16,1,3,1,seq_gen\00001_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,0.6,1,0,8,River Search and Rescue,0,0,0
River Search and Rescue,semi-synthetic,1,uc\00001_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/RiverRescue.md,SAREC-Lab/sUAS-UseCases,,0,0,River Search and Rescue,2,16,1,3,2,seq_gen\00002_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.2,1,10,,1,3,0
River Search and Rescue,semi-synthetic,1,uc\00001_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/RiverRescue.md,SAREC-Lab/sUAS-UseCases,,0,0,River Search and Rescue,2,16,1,3,3,seq_gen\00003_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,0.8,1,0,11,River_Search_and_Rescue,1,3,0
River Search and Rescue,semi-synthetic,1,uc\00001_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/RiverRescue.md,SAREC-Lab/sUAS-UseCases,,0,0,River Search and Rescue,2,16,1,3,4,seq_gen\00004_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.4,0,7,,0,0,0
River Search and Rescue,semi-synthetic,1,uc\00001_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/RiverRescue.md,SAREC-Lab/sUAS-UseCases,,0,0,River Search and Rescue,2,16,1,3,5,seq_gen\00005_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.0,1,0,6,River Search and Rescue,0,0,0
River Search and Rescue,semi-synthetic,1,uc\00001_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/RiverRescue.md,SAREC-Lab/sUAS-UseCases,,0,0,River Search and Rescue,2,16,1,3,6,seq_gen\00006_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.6,1,10,,1,3,0
River Search and Rescue,semi-synthetic,1,uc\00001_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/RiverRescue.md,SAREC-Lab/sUAS-UseCases,,0,0,River Search and Rescue,2,16,1,3,7,seq_gen\00007_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.2,1,2,8,River Search and Rescue,0,0,0
River Search and Rescue,semi-synthetic,1,uc\00001_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/RiverRescue.md,SAREC-Lab/sUAS-UseCases,,0,0,River Search and Rescue,2,16,1,3,8,seq_gen\00008_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.8,2,2,River Search and Rescue,0,0,0
River Search and Rescue,semi-synthetic,1,uc\00001_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/RiverRescue.md,SAREC-Lab/sUAS-UseCases,,0,0,River Search and Rescue,2,16,1,3,9,seq_gen\00009_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,1,0,9,River Search and Rescue,1,3,0
Deliver item to a specific location,semi-synthetic,2,uc\00002_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/ItemDelivery.md,SAREC-Lab/sUAS-UseCases,,0,0,Deliver item to a specific location,3,9,2,1,10,seq_gen\00010_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,0.6,1,3,3,Deliver item to a specific location,0,0,0
Deliver item to a specific location,semi-synthetic,2,uc\00002_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/ItemDelivery.md,SAREC-Lab/sUAS-UseCases,,0,0,Deliver item to a specific location,3,9,2,1,11,seq_gen\00011_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.2,3,3,,0,0,0
Deliver item to a specific location,semi-synthetic,2,uc\00002_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/ItemDelivery.md,SAREC-Lab/sUAS-UseCases,,0,0,Deliver item to a specific location,3,9,2,1,12,seq_gen\00012_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,0.8,1,3,3,,3,0,0
Deliver item to a specific location,semi-synthetic,2,uc\00002_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/ItemDelivery.md,SAREC-Lab/sUAS-UseCases,,0,0,Deliver item to a specific location,3,9,2,1,13,seq_gen\00013_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.4,3,3,,0,0,0
Deliver item to a specific location,semi-synthetic,2,uc\00002_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/ItemDelivery.md,SAREC-Lab/sUAS-UseCases,,0,0,Deliver item to a specific location,3,9,2,1,14,seq_gen\00014_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.0,1,0,7,Deliver item to a specific location,0,0,0
Deliver item to a specific location,semi-synthetic,2,uc\00002_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/ItemDelivery.md,SAREC-Lab/sUAS-UseCases,,0,0,Deliver item to a specific location,3,9,2,1,15,seq_gen\00015_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.6,3,4,,0,0,0
Deliver item to a specific location,semi-synthetic,2,uc\00002_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/ItemDelivery.md,SAREC-Lab/sUAS-UseCases,,0,0,Deliver item to a specific location,3,9,2,1,16,seq_gen\00016_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.2,1,0,4,,1,0,0
Deliver item to a specific location,semi-synthetic,2,uc\00002_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/ItemDelivery.md,SAREC-Lab/sUAS-UseCases,,0,0,Deliver item to a specific location,3,9,2,1,17,seq_gen\00017_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.8,0,4,,0,0,0
Deliver item to a specific location,semi-synthetic,2,uc\00002_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/ItemDelivery.md,SAREC-Lab/sUAS-UseCases,,0,0,Deliver item to a specific location,3,9,2,1,18,seq_gen\00018_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.4,1,3,4,,0,0,0
Provide surveillance and information about a traffic accident,semi-synthetic,3,uc\00003_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/AccidentSurveillance.md,SAREC-Lab/sUAS-UseCases,,0,0,Provide surveillance and information about a traffic accident,5,13,0,2,19,seq_gen\00019_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,0.6,1,0,5,Provide surveillance and information about a traffic accident,0,0,0
Provide surveillance and information about a traffic accident,semi-synthetic,3,uc\00003_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/AccidentSurveillance.md,SAREC-Lab/sUAS-UseCases,,0,0,Provide surveillance and information about a traffic accident,5,13,0,2,20,seq_gen\00020_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.2,5,5,Provide surveillance and information about a traffic accident,0,0,0
Provide surveillance and information about a traffic accident,semi-synthetic,3,uc\00003_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/AccidentSurveillance.md,SAREC-Lab/sUAS-UseCases,,0,0,Provide surveillance and information about a traffic accident,5,13,0,2,21,seq_gen\00021_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,0.8,1,0,8,Provide surveillance and information about a traffic accident,0,0,0
Provide surveillance and information about a traffic accident,semi-synthetic,3,uc\00003_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/AccidentSurveillance.md,SAREC-Lab/sUAS-UseCases,,0,0,Provide surveillance and information about a traffic accident,5,13,0,2,22,seq_gen\00022_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.4,5,5,,0,0,0
Provide surveillance and information about a traffic accident,semi-synthetic,3,uc\00003_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/AccidentSurveillance.md,SAREC-Lab/sUAS-UseCases,,0,0,Provide surveillance and information about a traffic accident,5,13,0,2,23,seq_gen\00023_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.0,1,0,9,Surveillance and Information about a Traffic Accident,0,0,0
Provide surveillance and information about a traffic accident,semi-synthetic,3,uc\00003_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/AccidentSurveillance.md,SAREC-Lab/sUAS-UseCases,,0,0,Provide surveillance and information about a traffic accident,5,13,0,2,24,seq_gen\00024_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.6,5,5,,0,0,0
Provide surveillance and information about a traffic accident,semi-synthetic,3,uc\00003_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/AccidentSurveillance.md,SAREC-Lab/sUAS-UseCases,,0,0,Provide surveillance and information about a traffic accident,5,13,0,2,25,seq_gen\00025_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1.2,1,1,4,,0,0,0
Provide surveillance and information about a traffic accident,semi-synthetic,3,uc\00003_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/AccidentSurveillance.md,SAREC-Lab/sUAS-UseCases,,0,0,Provide surveillance and information about a traffic accident,5,13,0,2,26,seq_gen\00026_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.8,5,5,,0,0,0
Provide surveillance and information about a traffic accident,semi-synthetic,3,uc\00003_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/AccidentSurveillance.md,SAREC-Lab/sUAS-UseCases,,0,0,Provide surveillance and information about a traffic accident,5,13,0,2,27,seq_gen\00027_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,1,5,5,,0,0,0
Structural Fire Fighting,semi-synthetic,4,uc\00004_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/StructuralFire.md,SAREC-Lab/sUAS-UseCases,,0,0,Structural Fire Fighting,2,10,0,1,28,seq_gen\00028_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.2,2,2,Structural Fire Fighting,0,0,0
Structural Fire Fighting,semi-synthetic,4,uc\00004_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/StructuralFire.md,SAREC-Lab/sUAS-UseCases,,0,0,Structural Fire Fighting,2,10,0,1,29,seq_gen\00029_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,0.8,1,2,2,,0,0,0
Structural Fire Fighting,semi-synthetic,4,uc\00004_uc.xml,2020-12-19,github,https://raw.githubusercontent.com/SAREC-Lab/sUAS-UseCases/refs/heads/SPLC-2020/usecases/main/StructuralFire.md,SAREC-Lab/sUAS-UseCases,,0,0,Structural Fire Fighting,2,10,0,1,30,seq_gen\00030_seq_gen.puml,2025-04-27,chatgpt,,,gpt-3.5-turbo-0125,1,0.4,0,2,,0,0,0
